what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1273920921187
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1273920924734
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273920925250
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273921322718
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1273921327203
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1273921328937
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1273921329750
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1273921336171
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1273921337625
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1273921351437
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1273921351828
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1273921352515
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1273921353078
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273921359625
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273921368375
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1273921368390
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273921370312
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273921384281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273921385328
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273921391359
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273921393812
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273921403578
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1273921403593
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273921404296
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273921406234
