what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273920255250
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273920256171
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273920257515
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273920257921
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273920258109
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273920277093
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1273920282187
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1273920284203
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1273920288250
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1273920288937
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1273920289734
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1273920290093
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1273920290218
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1273920290671
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1273920291828
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1273920293312
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1273920294906
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1273920296171
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1273920298031
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1273920309093
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273920312390
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273920323375
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.export,1273920323390
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273920326796
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1273920343062
